🏆 BEST PARAMS: {'embed_dim': 128, 'learning_rate': 0.00010094618142710994, 'batch_size': 512, 'dropout': 0.2551538619133901}

============================================================
🏆 FINAL MODEL TRAINING
{'embed_dim': 128, 'learning_rate': 0.00010094618142710994, 'batch_size': 512, 'dropout': 0.2551538619133901}
============================================================
Ep 1: Loss 27.11552 | Acc %51.91 💾
Ep 2: Loss 27.08212 | Acc %52.66 💾
Ep 3: Loss 27.09374 | Acc %52.13
Ep 4: Loss 27.11352 | Acc %52.83
Ep 5: Loss 27.18060 | Acc %52.28
Ep 6: Loss 27.17698 | Acc %52.25
Ep 7: Loss 27.14924 | Acc %52.47
Ep 8: Loss 27.12993 | Acc %52.65
Ep 9: Loss 27.16845 | Acc %52.45
Ep 10: Loss 27.08519 | Acc %52.69
Ep 11: Loss 27.11198 | Acc %52.66
Ep 12: Loss 27.18378 | Acc %52.65
Ep 13: Loss 27.13069 | Acc %52.63
Ep 14: Loss 27.13215 | Acc %52.82
Ep 15: Loss 27.12755 | Acc %52.54
Ep 16: Loss 27.18518 | Acc %52.61
Ep 17: Loss 27.21323 | Acc %52.67
Ep 18: Loss 27.16937 | Acc %52.95
Ep 19: Loss 27.19395 | Acc %52.79
Ep 20: Loss 27.17892 | Acc %52.69
Ep 21: Loss 27.15239 | Acc %52.74
Ep 22: Loss 27.22296 | Acc %52.76
Ep 23: Loss 27.17728 | Acc %53.06
Ep 24: Loss 27.18778 | Acc %52.97
Ep 25: Loss 27.31914 | Acc %52.24
Ep 26: Loss 27.33672 | Acc %52.49
Ep 27: Loss 27.19981 | Acc %52.90
Ep 28: Loss 27.23555 | Acc %52.81
Ep 29: Loss 27.28748 | Acc %52.59
Ep 30: Loss 27.31121 | Acc %52.80
Ep 31: Loss 27.22866 | Acc %52.96
Ep 32: Loss 27.39902 | Acc %52.51
Ep 33: Loss 27.50329 | Acc %52.91
Ep 34: Loss 27.36325 | Acc %53.14
Ep 35: Loss 27.58415 | Acc %52.85
Ep 36: Loss 27.31395 | Acc %52.95
Ep 37: Loss 27.26947 | Acc %53.15
Ep 38: Loss 27.59586 | Acc %52.53
Ep 39: Loss 27.41659 | Acc %52.98
Ep 40: Loss 27.69238 | Acc %52.95
Ep 41: Loss 27.39049 | Acc %53.01
Ep 42: Loss 27.53791 | Acc %52.99
Ep 43: Loss 27.45233 | Acc %53.04
Ep 44: Loss 27.47854 | Acc %52.85
Ep 45: Loss 27.42084 | Acc %52.72
Ep 46: Loss 27.43980 | Acc %52.95
Ep 47: Loss 27.33202 | Acc %53.01
Ep 48: Loss 27.63859 | Acc %53.08
Ep 49: Loss 27.45587 | Acc %53.15
Ep 50: Loss 27.44332 | Acc %53.09
Ep 51: Loss 27.63969 | Acc %52.83
Ep 52: Loss 27.49707 | Acc %53.12
Ep 53: Loss 27.53489 | Acc %53.02
Ep 54: Loss 27.45544 | Acc %53.07
Ep 55: Loss 27.69799 | Acc %52.96
Ep 56: Loss 27.34589 | Acc %53.18
Ep 57: Loss 27.44276 | Acc %53.02
Ep 58: Loss 27.56318 | Acc %53.11
Ep 59: Loss 27.57657 | Acc %53.15
Ep 60: Loss 27.62369 | Acc %52.99
Ep 61: Loss 27.64362 | Acc %53.01
Ep 62: Loss 27.52146 | Acc %53.18
Ep 63: Loss 27.68713 | Acc %53.05
Ep 64: Loss 27.57737 | Acc %53.01
Ep 65: Loss 27.66316 | Acc %53.05
Ep 66: Loss 27.54925 | Acc %52.77
Ep 67: Loss 27.69848 | Acc %53.20
Ep 68: Loss 27.46105 | Acc %53.07
Ep 69: Loss 27.52277 | Acc %53.16
Ep 70: Loss 27.59293 | Acc %53.14
Ep 71: Loss 27.82644 | Acc %53.17
Ep 72: Loss 27.70200 | Acc %53.20
Ep 73: Loss 27.46772 | Acc %53.11
Ep 74: Loss 27.55514 | Acc %53.22
Ep 75: Loss 27.50967 | Acc %53.16
Ep 76: Loss 27.64632 | Acc %53.15
Ep 77: Loss 27.51665 | Acc %53.02
Ep 78: Loss 27.47936 | Acc %53.14
Ep 79: Loss 27.73385 | Acc %53.15
Ep 80: Loss 27.50766 | Acc %53.03
Ep 81: Loss 27.77164 | Acc %53.02
Ep 82: Loss 27.63306 | Acc %53.22
Ep 83: Loss 27.89109 | Acc %53.07
Ep 84: Loss 27.77730 | Acc %53.24
Ep 85: Loss 27.85528 | Acc %52.79
Ep 86: Loss 27.53466 | Acc %53.12
Ep 87: Loss 27.48572 | Acc %53.16
Ep 88: Loss 27.53100 | Acc %53.18
Ep 89: Loss 27.40964 | Acc %53.17
Ep 90: Loss 27.51440 | Acc %53.08
Ep 91: Loss 27.81535 | Acc %53.02
Ep 92: Loss 27.73158 | Acc %53.07
Ep 93: Loss 27.68645 | Acc %52.94
Ep 94: Loss 27.57496 | Acc %53.06
Ep 95: Loss 27.83252 | Acc %52.81
Ep 96: Loss 27.68961 | Acc %53.01
Ep 97: Loss 27.56682 | Acc %53.13
Ep 98: Loss 27.64476 | Acc %53.07
Ep 99: Loss 27.37989 | Acc %53.16
Ep 100: Loss 27.81139 | Acc %53.15
