hour_bin,total,errors,error_rate,label,feature,day,bin,avg_feature
0.0,4293,1997,46.52,00:00-04:00 (Gece),Hour (Saat),,,
1.0,4295,2039,47.47,04:00-08:00 (Sabah Erken),Hour (Saat),,,
2.0,4278,2023,47.29,08:00-12:00 (Sabah),Hour (Saat),,,
3.0,4279,2036,47.58,12:00-16:00 (Öğleden Sonra),Hour (Saat),,,
4.0,4277,2061,48.19,16:00-20:00 (Akşam),Hour (Saat),,,
5.0,4291,1984,46.24,20:00-24:00 (Gece Geç),Hour (Saat),,,
,3676,1768,48.1,Pazartesi,Day (Gün),0.0,,
,3638,1723,47.36,Salı,Day (Gün),1.0,,
,3642,1725,47.36,Çarşamba,Day (Gün),2.0,,
,3639,1775,48.78,Perşembe,Day (Gün),3.0,,
,3652,1728,47.32,Cuma,Day (Gün),4.0,,
,3730,1657,44.42,Cumartesi,Day (Gün),5.0,,
,3736,1764,47.22,Pazar,Day (Gün),6.0,,
,5149,3283,63.76,0.349,RSI,,0.0,0.3486175264220666
,5140,2111,41.07,0.450,RSI,,1.0,0.4503992359200598
,5143,1357,26.39,0.508,RSI,,2.0,0.5084712634751586
,5132,2159,42.07,0.564,RSI,,3.0,0.5640219999456949
,5149,3230,62.73,0.660,RSI,,4.0,0.6598718674994913
,5133,2149,41.87,0.369,Vol_Ratio,,0.0,0.36873567988666633
,5141,2221,43.2,0.582,Vol_Ratio,,1.0,0.581802984990856
,5145,2233,43.4,0.791,Vol_Ratio,,2.0,0.7912862246646849
,5142,2435,47.36,1.119,Vol_Ratio,,3.0,1.1190706457596338
,5152,3102,60.21,2.370,Vol_Ratio,,4.0,2.3704289342622173
,5149,3535,68.65,0.044,BB_PctB,,0.0,0.043985114292869144
,5141,1877,36.51,0.309,BB_PctB,,1.0,0.3087382428068848
,5138,1414,27.52,0.527,BB_PctB,,2.0,0.5274679312532661
,5140,1798,34.98,0.726,BB_PctB,,3.0,0.7261105802181581
,5145,3516,68.34,0.959,BB_PctB,,4.0,0.9589412763132019
,5134,2371,46.18,0.002,ATR_Pct,,0.0,0.0018146818143984294
,5138,2454,47.76,0.003,ATR_Pct,,1.0,0.0027155482448460717
,5145,2389,46.43,0.003,ATR_Pct,,2.0,0.003438207208690044
,5148,2482,48.21,0.004,ATR_Pct,,3.0,0.004320125622740482
,5148,2444,47.47,0.007,ATR_Pct,,4.0,0.006796288215006788
